bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,A,A,A,E,E,E,A,E,E,E,E,E,D,E,E,E,E,E,E,E
C,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D
D,D,B,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,C,C,E,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,D,D,E,E,E,D,E,D,E,E,D,D,D,D,D,D,D,D,D,D
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,E
D,A,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,D,D,D,E,D
A,E,E,E,E,E,E,E,E,E,E,B,C,C,C,C,C,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,D,D,E,E,D,E,E,E,E,D,D,E,D,D,D,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,B,E,E,B,E,E,E,E,E,E,E,E,B,E,B,B,B,B,B,B
A,E,E,E,E,E,E,E,E,E,E,B,E,E,E,E,E,E,E,E,E,E
B,E,E,C,E,E,E,C,E,E,E,E,C,E,E,E,C,C,C,C,C,C
C,E,E,D,D,E,E,E,E,E,E,D,D,E,E,E,D,D,D,D,D,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,B,C,B,B,E,B
B,A,A,A,A,A,A,A,A,C,A,C,A,C,A,A,A,C,C,A,C,C
C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E
D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,D,E,D,E,D,D,D,D,D,D,D,D,D,D
D,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,A,A,D,D,D,D,D,D,D,A,D,A,D,D,D,D,A,A,D,D,A
A,D,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,E,E
B,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,E,E,E,E,E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,D,A,A,A
A,C,C,C,C,C,C,C,C,C,C,E,E,E,E,E,C,C,E,E,E,B
B,E,E,E,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,B,E,D,B,D,D,D,D,D,D,B,D,B,B,B,B,B,B,B,B
A,D,D,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,E,E,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,B,B,B,B,B,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,E
E,E,D,D,D,C,D,C,D,D,D,D,D,D,E,D,D,D,D,D,D,D
A,B,B,B,B,E,B,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E
