bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,C,E,E,E,E,C,B,B,B,E,E
D,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,J,J,J,J,J,J,J,J,J,J,J,J,J,A,J,J,J,J,J,J,J
F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
H,G,H,H,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,J,A
A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,C,C,C,F,F,C,C,A,A,A,A,C,C,A,A,C,C
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,F,D
E,G,G,G,G,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A
F,G,G,G,G,G,F,F,F,F,F,F,G,G,G,G,G,F,G,G,F,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,I,I,I,I,I
J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,F,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
C,C,C,G,G,G,G,G,G,B,B,G,B,B,B,B,G,A,G,A,A,A
D,F,F,F,F,F,F,B,F,I,F,F,B,B,B,F,B,B,F,B,B,B
E,J,J,J,J,J,J,J,J,J,J,D,D,D,D,D,D,D,J,J,J,J
F,C,C,F,C,C,C,C,C,C,F,F,C,B,B,B,C,C,C,C,C,B
G,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,H
I,D,D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
J,I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,C,C,C,C,C,C,C,F,C,C,C,A,A,A,A,A,A,A,A
C,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,G,G,G,G,G,G,G,G,G,G,G,G,G,D,D,D,D,D,D,D,A
E,G,E,E,E,E,E,E,G,G,E,G,E,E,E,E,E,E,E,E,E,E
F,A,F,F,F,F,F,F,F,F,F,F,G,G,F,F,F,F,F,F,G,G
G,H,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,G,G,G
H,J,J,J,D,J,D,J,J,J,D,D,D,D,D,J,J,J,J,J,J,D
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,B,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B
E,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
F,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,A,A,A,A,A,A
G,C,C,C,C,C,C,C,C,C,B,B,F,F,B,A,B,A,A,A,A,A
H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,F,F,F,F,C,C,F,C,F,C,F,F,C,F,F,F,F,F,F,C
C,H,D,B,D,B,B,C,C,B,B,C,B,C,C,B,B,B,B,B,B,B
D,I,D,F,F,F,B,B,B,B,B,B,B,B,B,F,B,B,B,B,B,B
E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,B,A,F,F,F,F,F
F,A,A,A,A,A,A,A,A,F,A,A,A,A,A,A,A,A,A,A,A,A
