bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,D,C,D,C,C,D,D,D,D,A,D,D,A,A,A,A,A,A,A,A,A
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C,C,C,C,C
E,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,B,B,B,B,D,D,D,D,D,D,B,D,B,B,C,C,C,B
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,C,C,C,C,C,C,C,C,D,C,D,D,D,D,D,D,D,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,C,A
D,B,B,B,B,B,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B
