bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,E,E,C,D,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D
A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A
B,E,C,C,C,C,C,C,C,C,D,C,D,C,C,A,C,D,D,D,D,A
C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A
D,C,C,C,C,C,C,C,D,D,C,D,C,C,C,C,C,C,C,C,C,C
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,D,D,D,D,D
A,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,B,D,D,D,D,D,D,D,B,D,B,D,B,B,D,B,B,B,D,B,B
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,A,B,B,B,B,B,C,B,B,A,A,A,C,A,A,A,A,C,A,A,A
C,A,C,C,C,C,C,C,C,A,C,C,B,A,A,B,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,A,A,A,A,A,A,E,E,E,B,B,B,B,B,B,B,B,B,B,B
B,D,D,B,D,D,D,D,D,D,D,D,C,D,D,D,D,D,C,C,C,D
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E
E,D,E,E,E,E,E,E,C,E,E,D,D,D,D,D,D,D,D,E,D,D
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,B,C,C,C,C,C,C,D,D,C,D,C,C,D,E,D,C,C,C,C
C,E,C,C,C,C,C,C,C,C,C,C,C,B,C,A,E,A,A,A,C,B
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,A,B,B,B,B,B,B,B,C,B,C,C,C,C,C,A,C,C,A,C,C
C,E,E,C,C,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E
D,C,C,D,D,C,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C
E,D,D,E,E,E,E,D,E,D,D,E,E,D,D,D,D,D,D,D,D,D
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,E,D,D,D,A,D,D,E,A,E,E,E
E,D,E,E,E,E,E,E,E,E,E,E,D,E,D,D,D,E,D,D,D,D
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,E,B,B,B,B,B,E,E,E,E,E,E,A,A,A,A,A,E,D,A,A
C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C
D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,A,D,D,D,D
E,A,E,E,E,E,E,E,E,E,E,E,E,D,E,D,D,D,D,D,E,D
A,C,C,C,C,C,B,B,B,B,B,B,B,C,C,C,B,B,B,C,C,C
B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,C,C,C,C,C,C,D,D,D,D,D,D,D,B,D,D,B,B,B,D
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,C,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,A,A,A,A
B,E,E,E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A
D,E,D,D,D,E,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,E,C,E,D,D,D,D,D,D,D,A,A,D,A,A,A,A,A,A,A
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,E,A
B,D,D,D,D,D,D,D,D,D,A,D,D,A,D,D,D,D,D,D,A,A
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,C,C,D,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,D,D,D,D,D,D,E,E,D,D,D,E,E,E,E,E,E,E,E
E,D,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,B,B,B,C,B,B,B,C,C,C,C,C,C,C,C,E,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,A,E,B,B,B,B,B,B,E,E,E,E,E,B,E,E,E,B,B,B
B,E,E,B,B,B,B,B,B,C,A,C,C,E,C,C,A,A,A,C,A,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E,E
A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D
D,D,D,D,D,D,D,D,D,C,D,D,C,C,C,C,C,D,C,C,C,C
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C
C,B,B,B,B,B,A,A,A,B,B,A,B,A,B,B,B,B,B,B,B,B
D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,B,E,E,E,E,E,E
A,C,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,C,C,C,C,C,C,C,C,A,C,A,C,C,C,A,A,A,A,A,C
C,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,A,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E
A,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D
B,D,D,D,D,C,C,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D
C,C,C,C,C,C,C,C,A,A,A,C,C,C,C,A,A,D,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,A,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,D,D,A,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,E,E,E,E,E,A,E,E,E,A,E,E,E,E,E,E,E,E,E,E
D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C
E,D,E,E,E,E,E,E,E,E,E,E,E,D,D,D,E,E,E,E,E,D
