bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E,E,E,J,J,J,J,J,J,B,J,J,J,J,J,J,B,B,B,B,B
B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,D,D,J,C,D,J
C,E,D,D,D,D,E,D,D,D,E,E,D,D,E,E,E,E,D,D,D,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,E,E,C,E,E,E,E,C,E,C
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,G,G,G,G,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,I,I,I,I,I,I,I,I,I,I,I,I,J,J,J,J,J,J,J,J,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,J,J,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E
C,A,A,A,J,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
D,A,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,A,A
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,J,J,J,E,E,J,J,J,J,J,E,E,J,E,J,J,J,J,J,J
G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
J,E,E,E,E,E,E,E,E,E,E,E,E,I,I,I,E,I,I,I,I,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,E,E,E
B,D,D,J,J,B,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D
C,H,H,E,E,E,E,E,E,E,E,E,E,E,E,H,H,H,H,H,E,E
D,J,J,J,J,D,D,D,D,D,D,D,D,D,D,E,D,E,E,E,E,D
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,F
G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,G,G,I,G,G,I
