bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,C,E,C,C,C
C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,D,E,E,E,E,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,E,E,E,B,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,D,D,D,E,E,E,E,E,E,E,E,E,D,E,E,E,D,D
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,C,C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,C,C,D,C,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,D,D
E,E,C,E,E,E,E,E,E,C,C,C,E,C,E,C,E,C,E,E,C,C
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,D,D,D,D,C,C,C,C,E,C,C,E,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,E,E,D,D,D,D,D,D,D,E,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,D,E,E,E,D,B,E,D,D,D,D,D,D,D,D,D,D,D,D
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,D,E,D,D,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,E,E,D,D,D
D,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D
B,D,D,D,E,E,E,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,E,D,E,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,D,D,E,D
E,E,D,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,E,A,E,A,E,E
C,C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,C,C,C,C,C,C,C,E,B,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E
