bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E,E,E,I,I,I,I,E,E,E,E,I,I,I,I,I,E,I,E,E,I
B,J,J,J,J,J,J,J,J,J,J,J,C,A,C,I,C,I,C,C,C,C
C,B,B,B,B,B,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,C,C,C,C,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,C,C
F,E,E,F,F,E,E,F,F,F,F,F,F,F,B,F,I,F,F,F,F,F
G,I,I,I,I,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,E
H,E,E,E,E,E,E,E,E,E,E,I,I,E,E,I,I,I,I,I,I,E
I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
J,J,I,J,J,J,J,J,J,J,J,J,J,I,I,I,I,I,I,I,I,I
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,C,C,A,A,A,A,A,C,A,A,A,C,C,C,C,C,C,C,C,C
C,G,G,G,G,G,G,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,I,I,I,I,I,I,I,I,I,I,I,I,E,E,E,E,E,E,E,E,E
F,J,J,E,E,E,I,I,E,I,E,E,E,E,E,E,E,E,E,E,E,E
G,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,E,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,G,G,E,G,E,E,E,E,E,E,E,G,G,G,E,G,E,E,E,E
A,J,J,E,E,E,J,J,J,J,I,J,I,I,I,J,J,I,E,E,E,I
B,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
C,G,G,G,G,G,G,G,C,G,C,C,B,B,B,B,B,D,D,D,B,D
D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
