bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,I,I,B,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,B,C,C,C,B,C,C,C,C,B,C,B,C,B,C,C,C,C,C,C,C
D,B,B,B,B,B,B,D,B,B,B,B,B,B,B,D,B,B,B,D,B,B
E,H,B,B,B,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,A,A,D,D,D,D,F,F,F,F,F,A,A,A,A,A,A,A,A,A,A
G,I,I,A,I,A,A,A,A,A,A,A,I,I,I,I,I,I,G,I,I,I
H,C,C,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,H
I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,H,H,J,J
A,A,A,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,D,D,D,D,D,B,B,B,B,B,B,A,A,A,A,B,A,A,A,A
C,E,E,E,E,E,E,E,E,E,C,C,E,C,C,E,C,E,E,E,E,E
D,B,B,B,B,B,D,D,D,B,D,D,B,B,B,B,B,B,B,B,B,B
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I,F,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,J,G,J,J,J,J
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
C,G,G,G,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D
F,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,A,A,A,A,A,G,A,A,G,G,G,G,G,G,G,G,G,G,G,G
H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,I,I,I,I,I,I
J,H,H,H,J,J,J,J,J,J,H,H,H,J,J,J,J,J,J,J,J,J
A,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,D,D,D
B,E,E,E,E,E,E,E,E,E,B,B,E,B,B,B,B,B,B,B,B,B
C,I,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,D,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A
B,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,F,C,C,F,F
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,I,I,I,I
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,I,I,I,I,I,I,I,I,I,I,B,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B
D,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,I,I,I,I,I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,E,C,C,C,E,E,I,E,I,I,I,I,I,I,I,I,I,I,I,I
J,E,E,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,J,B,C,B,B,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,B
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
F,D,J,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,A,D,D,D,D,D,J,J,J,J,J,J,J,J,J,J,J,J,I,J,J
J,A,A,A,J,A,A,A,J,A,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,B,D,B,B,B,B,B,D,D,B,B,B,B,B,B,B,B,B,B,B,B
E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,J,J,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H
I,B,I,I,B,B,B,B,B,B,B,B,I,B,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
